rank,language,name,requests_per_second,description
94,Java,"quarkus resteasy reactive + hibernate",7483647,"Quarkus RESTEasy Reactive + Hibernate [quarkus-hibernate-reactive] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1073]"
95,PHP,"workerman",7438285,"workerman [workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #993]"
96,JavaScript,"es4x",7268195,"es4x [es4x] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #700]"
97,Python,"socketify.py",7266254,"socketify.py [socketify.py-python3] (None; socketify.py-python3 on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1348]"
98,typescript,"bun",7046989,"bun [bun] (bun; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1228]"
99,Go,"hertz",6935931,"hertz [hertz] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1262]"
100,Java,"act",6564801,"actframework [act] (Undertow; None on Linux; None on Linux; Full ORM; Fullstack class; Realistic approach) [Test #489]"
101,C#,"reaper [aot,slim]",6532731,"Reaper [aot,slim] [reaper] (.NET; kestrel on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1438]"
102,Rust,"roa-tokio",6427698,"roa [roa-tokio] (None; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #921]"
103,C#,"fastendpoints",6282875,"FastEndpoints [fastendpoints] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1128]"
104,C#,"genhttp",6264382,"genhttp [genhttp] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #734]"
105,Rust,"roa-core",6180688,"roa [roa-core] (None; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #917]"
106,Python,"japronto",6176331,"japronto [japronto] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #786]"
107,Clojure,"donkey",5731494,"Donkey [donkey] (vert.x; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1016]"
108,Java,"greenlightning",5723659,"greenlightning [greenlightning] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #754]"
109,Java,"undertow",5659809,"None [undertow] (Undertow; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #120]"
110,Java,"jooby",5637207,"jooby [jooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #406]"
111,Crystal,"toro",5592643,"toro [toro] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #960]"
112,Java,"microhttp",5444295,"microhttp [microhttp] (microhttp; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1162]"
113,Scala,"vertx-web-scala",5387960,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
114,Crystal,"spider-gazelle",5383439,"spider-gazelle [spider-gazelle] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #935]"
115,JavaScript,"hyperexpress",5340722,"hyperexpress [hyperexpress] (nodejs; µws on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1277]"
116,C#,"carter",5221009,"carter [carter] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #656]"
117,Java,"grizzly",5185305,"grizzly [grizzly] (Servlet; grizzly on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #174]"
118,Rust,"roa",5181434,"roa [roa] (None; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #916]"
119,Java,"bayou",5171445,"None [bayou] (Bayou; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #447]"
