rank,language,name,requests_per_second,description
142,Rust,"axum [mongodb raw]",452123,"Axum [Mongodb raw] [axum-mongo-raw] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1111]"
143,Lua,"lapis",451377,"lapis [lapis] (OpenResty; nginx on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #177]"
144,Ruby,"rage-sequel",447993,"Rage-Sequel [rage-sequel] (Rack; rage-iodine on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1433]"
145,typescript,"ditsmod-bun v3.0 [postgres]",445132,"ditsmod-bun v3.0 [postgres] [ditsmod-postgres-bun] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1377]"
146,Kotlin,"http4k-undertow",444270,"http4k [http4k-undertow] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #773]"
147,PHP,"ripple",443404,"ripple [ripple] (ripple; None on Linux; MySQL on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1439]"
148,typescript,"ditsmod [postgres]",441472,"ditsmod [postgres] [ditsmod-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1232]"
149,PHP,"simps-micro",441435,"simps [simps-micro] (swoole; None on Linux; MySQL on Linux; Micro ORM; Micro class; Realistic approach) [Test #933]"
150,Java,"hserver-business",441071,"hserver-business [hserver-business] (hserver-business; hserver-business on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1392]"
151,Go,"fiber",440178,"fiber [fiber] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #729]"
152,Go,"fasthttp",438705,"None [fasthttp] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #400]"
153,JavaScript,"fastify-postgres",437129,"fastify [fastify-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #724]"
154,Go,"echo",432423,"echo [echo] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #398]"
155,Java,"pippo-undertow-mysql",430907,"pippo-undertow-mysql [pippo-undertow-mysql] (Undertow; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1326]"
156,Java,"pippo-jetty-mysql",427524,"pippo-jetty-mysql [pippo-mysql] (Jetty; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1318]"
157,Go,"kami",425659,"kami [kami] (None; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #471]"
158,Java,"pippo-tomcat-mysql",424303,"pippo-tomcat-mysql [pippo-tomcat-mysql] (tomcat; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1322]"
159,Go,"go-pgx",423301,"go-std [go-pgx] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #644]"
160,Go,"go-pgx-easyjson",414977,"go-std [go-pgx-easyjson] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #647]"
161,pascal,"mormot [async]",413449,"mormot [async] [mormot-postgres-async] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1304]"
162,C#,"appmpower [middleware, pg, ado]",411562,"appMpower [Middleware, Pg, Ado] [appmpower-odbc-pg] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1103]"
163,Kotlin,"hexagon nima native postgresql",409474,"Hexagon Nima Native PostgreSQL [hexagon-helidon-native] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1268]"
164,C#,"aspnetcore-mvc",409255,"asp.net core [mvc] [aspnetcore-mvc] (.NET; kestrel on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #603]"
165,Java,"micronaut vertx pg client graalvm",405340,"Micronaut Vertx PG Client GraalVM [micronaut-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1298]"
166,C#,"asp.net core",405043,"ASP.NET Core [ben] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1006]"
167,Java,"gemini-mysql",404857,"gemini [gemini-mysql] (Servlet; Resin on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #263]"
168,Java,"micronaut r2dbc",404498,"Micronaut R2DBC [micronaut-r2dbc] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1301]"
169,Go,"chi-gojay-prefork",395915,"chi [chi-gojay-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #661]"
170,Scala,"scalene",391077,"scalene [scalene] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #925]"
171,Kotlin,"hexagon jetty loom pgclient",390995,"Hexagon Jetty Loom PgClient [hexagon-jettyloom-pgclient] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1266]"
172,Crystal,"lucky",388760,"Lucky [lucky] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1050]"
173,Go,"chi-sjson-prefork",384698,"chi [chi-sjson-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #665]"
174,Kotlin,"hexagon jetty loom postgresql",383884,"Hexagon Jetty Loom PostgreSQL [hexagon-jettyloom] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1265]"
175,Kotlin,"hexagon jetty native postgresql",383676,"Hexagon Jetty Native PostgreSQL [hexagon-jetty-native] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1264]"
176,JavaScript,"hono",381826,"Hono [hono-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1391]"
177,Rust,"xitca-web [sync]",378068,"xitca-web [sync] [xitca-web-sync] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1473]"
178,PHP,"ubiquity-workerman-mongo",375156,"ubiquity-workerman-mongo [ubiquity-workerman-mongo] (workerman; None on Linux; MongoDB on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1084]"
179,JavaScript,"nodejs-postgresjs-raw",371703,"nodejs-postgresjs-raw [nodejs-postgresjs-raw] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1420]"
180,C#,"easyrpc",370277,"easyrpc [easyrpc] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #696]"
181,Go,"chi-prefork",369298,"chi [chi-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #662]"
182,Crystal,"crystal-radix",360329,"None [crystal-radix] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #673]"
183,C++,"treefrog",352201,"treefrog [treefrog] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #216]"
184,Crystal,"crystal",351702,"None [crystal] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #337]"
185,Kotlin,"http4k-helidon-jdbc",349145,"http4k [http4k-helidon-jdbc] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1272]"
186,Java,"micronaut jdbc graalvm",346673,"Micronaut JDBC GraalVM [micronaut-jdbc-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1300]"
187,Crystal,"kemal",346324,"kemal [kemal] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #472]"
188,Kotlin,"ktor",333599,"ktor [ktor] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #564]"
