rank,language,name,requests_per_second,description
125,PHP,"imi-workerman-mysql-raw",318732,"imi-workerman-mysql-raw [imi-workerman-mysql-raw] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1147]"
126,Go,"go-pgx-prefork",318546,"go-std [go-pgx-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #648]"
127,JavaScript,"hyperexpress-mysql",315618,"hyperexpress-mysql [hyperexpress-mysql] (nodejs; µws on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1278]"
128,PHP,"workerman [jit, mysql]",313973,"workerman [jit, mysql] [workerman-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1468]"
129,C++,"lithium",313786,"lithium [lithium] (None; None on Linux; MySQL on Linux; Full ORM; Micro class; Realistic approach) [Test #57]"
130,Kotlin,"http4k-jettyloom-jdbc",311828,"http4k [http4k-jettyloom-jdbc] (jetty-loom-jdbc; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1274]"
131,JavaScript,"ultimate-express-mysql",310093,"ultimate-express-mysql [ultimate-express-mysql] (nodejs; µws on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1458]"
132,Rust,"salvo [mongodb]",310057,"Salvo [mongodb] [salvo-mongo] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1338]"
133,PHP,"mixphp-workerman-mysql",309919,"mixphp-workerman-mysql [mixphp-workerman-mysql] (workerman; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1166]"
134,Java,"rapidoid-postgres",309646,"rapidoid [rapidoid-postgres] (Rapidoid; None on Linux; Postgres on Linux; Micro ORM; Platform class; Realistic approach) [Test #528]"
135,PHP,"kumbiaphp-workerman-mysql",308804,"kumbiaphp [kumbiaphp-workerman-mysql] (workerman; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #819]"
136,PHP,"simps",308361,"simps [simps] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #932]"
137,PHP,"workerman [jit, mysql, swow, async]",307568,"workerman [jit, mysql, swow, async] [workerman-mysql-swow] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1470]"
138,PHP,"workerman [jit, mysql, swoole, async]",307058,"workerman [jit, mysql, swoole, async] [workerman-mysql-swoole] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1469]"
139,PHP,"imi-swoole-mysql-raw",306997,"imi [imi-swoole-mysql-raw] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #785]"
140,Java,"micronaut vertx pg client graalvm",304829,"Micronaut Vertx PG Client GraalVM [micronaut-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1298]"
141,Kotlin,"hexagon jetty native postgresql",304414,"Hexagon Jetty Native PostgreSQL [hexagon-jetty-native] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1264]"
142,Lua,"openresty",304355,"openresty [openresty] (OpenResty; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #50]"
143,PHP,"php-ngx-mysql",303608,"php-ngx [php-ngx-mysql] (ngx_php; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #870]"
144,PHP,"mixphp-swoole-mysql",299652,"mixphp-swoole-mysql [mixphp-swoole-mysql] (swoole; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1165]"
145,Kotlin,"http4k-jetty11loom-jdbc",299202,"http4k [http4k-jetty11loom-jdbc] (jetty11-loom-jdbc; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1395]"
146,Go,"go-my-prefork",296315,"go-std [go-my-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #744]"
147,C#,"easyrpc",291670,"easyrpc [easyrpc] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #696]"
148,C#,"asp.net core [platform, my]",288812,"ASP.NET Core [Platform, My] [aspnetcore-mysql] (.NET; kestrel on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1106]"
149,typescript,"elysia [postgresql]",284990,"Elysia [PostgreSQL] [elysia-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1380]"
150,typescript,"elysia [postgresql]",284973,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
151,typescript,"elysia [smol] [postgresql]",284536,"Elysia [smol] [PostgreSQL] [elysia-smol-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1381]"
152,Crystal,"spider-gazelle",284434,"spider-gazelle [spider-gazelle] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #935]"
153,JavaScript,"nodejs-postgresjs-raw",283445,"nodejs-postgresjs-raw [nodejs-postgresjs-raw] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1420]"
154,PHP,"comet-mysql",283268,"comet-mysql [comet-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1009]"
155,Java,"jooby",282879,"jooby [jooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #406]"
156,PHP,"open swoole",282634,"Open Swoole [openswoole] (openswoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1176]"
