rank,language,name,requests_per_second,description
110,C++,"ffead-cpp-v-picov",48913,"ffead-cpp-v-picov [ffead-cpp-v-picov] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1035]"
111,Java,"hserver",48899,"hserver [hserver] (hserver; hserver on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1140]"
112,C#,"asp.net core [platform, my]",48333,"ASP.NET Core [Platform, My] [aspnetcore-mysql] (.NET; kestrel on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1106]"
113,Rust,"xitca-web [sync]",48150,"xitca-web [sync] [xitca-web-sync] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1473]"
114,PHP,"ubiquity-swoole",47782,"ubiquity [ubiquity-swoole] (swoole; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #965]"
115,C++,"ffead-cpp-postgresql-raw",47726,"ffead-cpp-postgresql-raw [ffead-cpp-postgresql-raw-async-pool-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1028]"
116,Java,"micronaut-graalvm",47547,"micronaut-graalvm [micronaut-data-jdbc] (Netty; netty on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1163]"
117,Kotlin,"http4k-ratpack",47402,"http4k [http4k-ratpack] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1043]"
118,Java,"officefloor",47389,"officefloor [officefloor] (officefloor; woof on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #414]"
119,Kotlin,"http4k-apache4",46972,"http4k [http4k-apache4] (apache-httpcore; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1040]"
120,Kotlin,"http4k-jetty",46659,"http4k [http4k-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1041]"
121,Kotlin,"http4k-netty",46651,"http4k [http4k-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #772]"
122,Kotlin,"http4k-jetty11",46559,"http4k [http4k-jetty11] (jetty11; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1394]"
123,C#,"aspnetcore-mvc",46497,"asp.net core [mvc] [aspnetcore-mvc] (.NET; kestrel on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #603]"
124,Kotlin,"http4k-undertow",46291,"http4k [http4k-undertow] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #773]"
125,Ur,"urweb",46208,"urweb [urweb] (Ur/Web; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #236]"
126,Java,"jooby-jetty",45846,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
127,Java,"dropwizard-postgres",45473,"dropwizard [dropwizard-postgres] (JAX-RS; Jetty on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #340]"
128,C++,"lithium",44675,"lithium [lithium] (None; None on Linux; MySQL on Linux; Full ORM; Micro class; Realistic approach) [Test #57]"
129,PHP,"comet-mysql",44664,"comet-mysql [comet-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1009]"
130,PHP,"php-ngx-mysql",44489,"php-ngx [php-ngx-mysql] (ngx_php; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #870]"
131,Go,"go-my-prefork",44317,"go-std [go-my-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #744]"
132,PHP,"one",44239,"one [one] (swoole; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1062]"
133,PHP,"workerman [jit, mysql]",44239,"workerman [jit, mysql] [workerman-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1468]"
134,Java,"micronaut jdbc graalvm",43769,"Micronaut JDBC GraalVM [micronaut-jdbc-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1300]"
135,C++,"treefrog",43503,"treefrog [treefrog] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #216]"
136,C++,"ffead-cpp [v-prof]",43482,"ffead-cpp [v-prof] [ffead-cpp-v-picov-raw-profiled] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1130]"
137,PHP,"ubiquity-workerman-mysql",43449,"ubiquity-workerman-mysql [ubiquity-workerman-mysql] (workerman; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1085]"
138,Kotlin,"http4k-jettyloom-jdbc",41149,"http4k [http4k-jettyloom-jdbc] (jetty-loom-jdbc; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1274]"
139,PHP,"php-workerman",40635,"php-workerman [php-workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1315]"
140,PHP,"slim-workerman",40272,"slim-workerman [slim-workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1343]"
